Rank	MName	#males	FName	#females
1	Jacob	22,095	Isabella	22,890
2	Ethan	17,993	Sophia	20,623
3	Michael	17,324	Emma	17,327
4	Jayden	17,158	Olivia	17,017
5	William	17,036	Ava	15,421
6	Alexander	16,746	Emily	14,262
7	Noah	16,438	Abigail	14,231
8	Daniel	15,819	Madison	13,170
9	Aiden	15,520	Chloe	11,745
10	Anthony	15,475	Mia	10,628
11	Joshua	15,425	Addison	10,320
12	Mason	14,836	Elizabeth	10,248
13	Christopher	14,259	Ella	9,869
14	Andrew	14,227	Natalie	8,766
15	David	14,176	Samantha	8,398
16	Matthew	14,114	Alexis	8,257
17	Logan	14,014	Lily	7,975
18	Elijah	13,875	Grace	7,676
19	James	13,861	Hailey	7,011
20	Joseph	13,806	Alyssa	6,980
21	Gabriel	12,859	Hannah	6,978
22	Benjamin	12,421	Lillian	6,948
23	Ryan	11,964	Avery	6,670
24	Samuel	11,948	Leah	6,528
25	Jackson	11,812	Nevaeh	6,406
26	John	11,543	Sofia	6,323
27	Nathan	11,367	Anna	6,315
28	Jonathan	11,113	Sarah	6,314
29	Christian	11,084	Ashley	6,306
30	Liam	10,924	Brianna	6,271
31	Dylan	10,507	Zoe	6,263
32	Landon	10,464	Victoria	6,221
33	Caleb	10,462	Gabriella	6,170
34	Tyler	10,436	Brooklyn	6,114
35	Lucas	10,369	Kaylee	6,089
36	Evan	9,722	Taylor	5,892
37	Nicholas	9,637	Layla	5,884
38	Gavin	9,608	Allison	5,861
39	Isaac	9,347	Evelyn	5,838
40	Brayden	9,101	Riley	5,535
41	Luke	8,835	Amelia	5,454
42	Angel	8,762	Khloe	5,400
43	Isaiah	8,562	Makayla	5,388
44	Brandon	8,534	Savannah	5,366
45	Jack	8,516	Aubrey	5,356
46	Jordan	8,224	Charlotte	5,354
47	Owen	8,171	Zoey	5,200
48	Carter	8,150	Bella	5,112
49	Connor	8,047	Kayla	5,048
50	Justin	7,839	Alexa	5,037
51	Jeremiah	7,720	Peyton	4,967
52	Jose	7,698	Audrey	4,949
53	Julian	7,573	Claire	4,915
54	Robert	7,542	Arianna	4,833
55	Aaron	7,458	Julia	4,674
56	Adrian	7,397	Aaliyah	4,659
57	Wyatt	7,367	Kylie	4,594
58	Kevin	7,319	Lauren	4,465
59	Hunter	7,312	Sophie	4,413
60	Cameron	7,188	Sydney	4,328
61	Zachary	7,169	Camila	4,300
62	Thomas	7,115	Jasmine	4,169
63	Charles	7,093	Morgan	4,072
64	Austin	6,895	Alexandra	4,018
65	Eli	6,554	Jocelyn	3,982
66	Chase	6,432	Maya	3,964
67	Henry	6,392	Gianna	3,957
68	Sebastian	6,353	Mackenzie	3,877
69	Jason	6,265	Kimberly	3,867
70	Levi	5,990	Katherine	3,862
71	Xavier	5,746	Destiny	3,723
72	Ian	5,553	Brooke	3,702
73	Colton	5,312	Trinity	3,695
74	Dominic	5,291	Faith	3,688
75	Cooper	5,254	Lucy	3,633
76	Juan	5,237	Madelyn	3,617
77	Josiah	5,200	Madeline	3,602
78	Ayden	5,126	Bailey	3,590
79	Luis	5,126	Payton	3,582
80	Adam	5,096	Andrea	3,567
81	Carson	5,096	Autumn	3,509
